HK 2-stellig;HK 3-stellig;3mit *;Kontobezeichnung;HK;HK-4-Stellig;IDEA;Kontoneu;Prozess KI;Prozess EWB;WP;Sachanlagen;Personal;manuell;Hinweis
46;462;*;Verbindlichkeiten aus Treuhandkrediten (im eigenen Namen, für fremde Rechnung verwaltete Kredite) – Tilgungsverbindlichkeiten;461300;4613;;x;;;;;;;
46;464;*;Verbindlichkeiten aus anderen Treuhandgeschäften;462000;4620;;x;;;;;;;
46;464;*;Verbindlichkeiten aus im fremden Namen, für fremde Rechnung verwalteten Krediten – Kapitalverbindlichkeiten;464100;4641;;x;;;;;;;
46;464;*;Verbindlichkeiten aus im fremden Namen, für fremde Rechnung verwalteten Krediten – Zinsverbindlichkeiten;464200;4642;;x;;;;;;;
46;465;*;Verbindlichkeiten aus im fremden Namen, für fremde Rechnung verwalteten Krediten – Tilgungsverbindlichkeiten;464300;4643;;x;;;;;;;
47;470;*;Verbindlichkeiten aus im fremden Namen, für fremde Rechnung verwalteten anderen Vermögensgegenständen;465000;4650;;x;;;;;;;
48;480;*;Zweigstellen;470000;4700;;;;;;;;x;nicht relevant
49;491;*;Betriebsverrechnungskonto;480000;4800;;;x;;;;;;Flip/Flop
49;495;*;Weiterleitungsmittel der eigenen GZ;491000;4910;;x;;;;;;;
51;511;*;Weiterleitungsmittel anderer Kreditinstitute;495000;4950;;x;;;;;;;
51;511;*;Von Kunden angekaufte Wechsel sowie den Kreditnehmern abgerechnete eigene Ziehungen (Obligo);511100;5111;x;;;;;;;x;
51;511;*;Von Kreditinstituten angekaufte Wechsel (Obligo);511210;5112;x;;;;;;;x;
51;511;*;Rediskontierte Wechsel;511230;5112;x;;;;;;;x;
51;511;*;Vor Verfall zum Einzug gegebene Diskontwechsel;511240;5112;x;;;;;;;x;
51;511;*;Diskontwechsel–Ausgangskonto;511270;5112;x;;;;;;;x;
51;511;*;Rediskontierte Wechsel;511300;5113;x;;;;;;;x;
51;511;*;Vor Verfall zum Einzug gegebene Diskontwechsel;511400;5114;x;;;;;;;x;
51;511;*;Mit Vollindossament weitergegebene Wechsel aus Gemeinschaftskrediten;511500;5115;x;;;;;;;x;
51;511;*;Ohne Vollindossament weitergegebene Wechsel aus Gemeinschaftskrediten;511600;5116;x;;;;;;;x;
51;513;*;Diskontwechsel-Ausgangskonto;511700;5117;x;;;;;;;x;
51;516;*;Eigene Akzepte (soweit den Kreditnehmern abgerechnet);513000;5130;x;;;;;;;x;
51;516;*;Von Kunden angekaufte Fremdwährungswechsel sowie den Kreditnehmern abgerechnete eigene Ziehungen (Obligo);516100;5161;x;;;;;;;x;
51;516;*;Von Kreditinstituten angekaufte Fremdwährungs- Diskontwechsel (Obligo);516210;5162;x;;;;;;;x;
51;516;*;Rediskontierte Fremdwährungswechsel;516230;5162;x;;;;;;;x;
51;516;*;Vor Verfall zum Einzug gegebene Fremdwährungs- Diskontwechsel;516240;5162;x;;;;;;;x;
51;516;*;Fremdwährungs-Diskontwechsel – Ausgangskonto;516270;5162;x;;;;;;;x;
51;516;*;Rediskontierte Fremdwährungswechsel;516300;5163;x;;;;;;;x;
51;516;*;Vor Verfall zum Einzug gegebene Fremdwährungs- Diskontwechsel;516400;5164;x;;;;;;;x;
52;521;*;Fremdwährungs-Diskontwechsel – Ausgangskonto;516700;5167;x;;;;;;;x;
52;523;*;Bei der Bundesbank refinanzierungsfähige unverzinsliche Schuldtitel öffentlicher Stellen, z.B. Schatzwechsel und  unverzinsliche Schatzanweisungen;521000;5210;x;;;;;;;x;
53;531;*;Unverzinsliche andere Schuldtitel öffentlicher Emittenten;523000;5230;x;;;;;;;x;
53;531;*;Bestand an Einzugswechseln, die dem Einreicher-Konto noch nicht gutgeschrieben sind;531100;5311;x;;;;;;;x;
53;532;*;Bestand an Einzugswechseln, die dem Einreicher-Konto bereits gutgeschrieben sind;531200;5312;x;;;;;;;x;
53;532;*;Ausgang von Einzugswechseln, die dem Einreicher-Konto noch nicht gutgeschrieben sind;532100;5321;x;;;;;;;x;
54;541;*;Ausgang von Einzugswechseln, die dem Einreicher-Konto bereits gutgeschrieben sind;532200;5322;x;;;;;;;x;
54;542;*;Einzugsscheck-Bestandskonto;541000;5410;x;;;;;;;x;
55;551;*;Einzugsscheck-Ausgangskonto;542000;5420;x;;;;;;;x;
55;552;*;Einzugsdokumente-Bestandskonto;551000;5510;x;;;;;;;x;
61;611;*;Einzugsdokumente-Ausgangskonto 6. Kontenklasse 6 – Darlehen an Kunden, Treuhandvermögen;552000;5520;x;;;;;;;x;
61;611;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit bis zu 5 Jahren – durch Grundpfandrechte gesichert;611100;6111;;x;;;;;;;
61;611;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit bis zu 5 Jahren – gegen kommunale Deckung;611200;6112;;x;;;;;;;
61;612;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit bis zu 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;611300;6113;;x;;;;;;;
61;612;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit von mehr als 5 Jahren – durch Grundpfandrechte gesichert;612100;6121;;x;;;;;;;
61;612;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit von mehr als 5 Jahren – gegen kommunale Deckung;612200;6122;;x;;;;;;;
61;613;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit von mehr als 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;612300;6123;;x;;;;;;;
61;613;*;Sonstige Darlehen mit einer Laufzeit bis zu 5 Jahren – durch Grundpfandrechte gesichert;613100;6131;;x;;;;;;;
61;613;*;Sonstige Darlehen mit einer Laufzeit bis zu 5 Jahren – gegen kommunale Deckung;613200;6132;;x;;;;;;;
61;614;*;Sonstige Darlehen mit einer Laufzeit bis zu 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;613300;6133;;x;;;;;;;
61;614;*;Sonstige Darlehen mit einer Laufzeit von mehr als 5 Jahren – durch Grundpfandrechte gesichert;614100;6141;;x;;;;;;;
61;614;*;Sonstige Darlehen mit einer Laufzeit von mehr als 5 Jahren – gegen kommunale Deckung;614200;6142;;x;;;;;;;
62;621;*;Sonstige Darlehen mit einer Laufzeit von mehr als 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;614300;6143;;x;;;;;;;
62;621;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit bis zu 5 Jahren – durch Grundpfandrechte gesichert;621100;6211;;x;;;;;;;
62;621;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit bis zu 5 Jahren – gegen kommunale Deckung;621200;6212;;x;;;;;;;
62;622;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit bis zu 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;621300;6213;;x;;;;;;;
62;622;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit von mehr als 5 Jahren – durch Grundpfandrechte gesichert;622100;6221;;x;;;;;;;
62;622;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit von mehr als 5 Jahren – gegen kommunale Deckung;622200;6222;;x;;;;;;;
62;623;*;Darlehen für Wohnungsbauzwecke mit einer Laufzeit von mehr als 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;622300;6223;;x;;;;;;;
62;623;*;Konsumentenkredite - Alle Laufzeiten - durch Grundpfandrechte gesichert;623100;6231;;x;;;;;;;
63;630;*;Konsumentenkredite - Alle Laufzeiten - gegen sonstige bzw. ohne weitere Sicherheiten;623300;6233;;x;;;;;;;
64;641;*;Darlehen an öffentliche Haushalte (aus eigenen Mitteln);630000;6300;;x;;;;;;;
64;641;*;Treuhandkredite (im eigenen Namen, für fremde Rechnung verwaltete Kredite) – Kapitalforderungen;641100;6411;;x;;;;;;;
64;641;*;Treuhandkredite (im eigenen Namen, für fremde Rechnung verwaltete Kredite) – Zinsforderungen;641200;6412;;x;;;;;;;
64;642;*;Treuhandkredite (im eigenen Namen, für fremde Rechnung verwaltete Kredite) – Tilgungsforderungen;641300;6413;;x;;;;;;;
64;644;*;Anderes Treuhandvermögen;642000;6420;;x;;;;;;;
64;644;*;Im fremden Namen, für fremde Rechnung verwaltete Kredite – Kapitalforderungen;644100;6441;;x;;;;;;;
64;644;*;Im fremden Namen, für fremde Rechnung verwaltete Kredite – Zinsforderungen;644200;6442;;x;;;;;;;
64;645;*;Im fremden Namen, für fremde Rechnung verwaltete Kredite – Tilgungsforderungen;644300;6443;;x;;;;;;;
65;651;*;Andere in fremden Namen, für fremde Rechnung verwaltete Vermögensgegenstände;645000;6450;;x;;;;;;;
65;652;*;Schuldscheine und Namensschuldverschreibungen öffentlicher Stellen;651000;6510;x;;;;;;;x;
65;653;*;Schuldscheine und Namensschuldverschreibungen anderer Nichtkreditinstitute;652000;6520;x;;;;;;;x;
66;661;*;Rückzahlbare, nicht börsenfähige Genussrechte von Nichtkreditinstituten;653000;6530;x;;;;;;;x;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Wohnungsbau mit einer Laufzeit bis zu 5 Jahren – durch Grundpfandrechte gesichert;661110;6611;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Wohnungsbau mit einer Laufzeit bis zu 5 Jahren – gegen kommunale Deckung;661120;6611;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Wohnungsbau mit einer Laufzeit bis zu 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;661130;6611;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Wohnungsbau mit einer Laufzeit von mehr als 5 Jahren – durch Grundpfandrechte gesichert;661210;6612;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Wohnungsbau mit einer Laufzeit von mehr als 5 Jahren – gegen kommunale Deckung;661220;6612;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Wohnungsbau mit einer Laufzeit von mehr als 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;661230;6612;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Sonstige mit einer Laufzeit bis zu 5 Jahren – durch Grundpfandrechte gesichert;661310;6613;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Sonstige mit einer Laufzeit bis zu 5 Jahren – gegen kommunale Deckung;661320;6613;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Sonstige mit einer Laufzeit bis zu 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;661330;6613;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Sonstige mit einer Laufzeit von mehr als 5 Jahren – durch Grundpfandrechte gesichert;661410;6614;;x;;;;;;;
66;661;*;Fremdwährungsdarlehen an Geschäftskunden – Sonstige mit einer Laufzeit von mehr als 5 Jahren – gegen kommunale Deckung;661420;6614;;x;;;;;;;
66;662;*;Fremdwährungsdarlehen an Geschäftskunden – Sonstige mit einer Laufzeit von mehr als 5 Jahren – gegen sonstige bzw. ohne weitere Sicherheiten;661430;6614;;x;;;;;;;
66;662;*;Fremdwährungsdarlehen an Privatkunden – Wohnungsbau mit einer Laufzeit bis zu 5 Jahren;662100;6621;;x;;;;;;;
66;662;*;Fremdwährungsdarlehen an Privatkunden – Wohnungsbau mit einer Laufzeit von mehr als 5 Jahren;662200;6622;;x;;;;;;;
66;662;*;Fremdwährungsdarlehen an Privatkunden – Sonstige Darlehen mit einer Laufzeit bis zu 5 Jahren;662300;6623;;x;;;;;;;
66;663;*;Fremdwährungsdarlehen an Privatkunden – Sonstige Darlehen mit einer Laufzeit von mehr als 5 Jahren;662400;6624;;x;;;;;;;
69;691;*;Fremdwährungsdarlehen an öffentliche Haushalte;663000;6630;;x;;;;;;;
69;692;*;Weiterleitungsdarlehen an Geschäftskunden;691000;6910;;x;;;;;;;
71;711;*;Weiterleitungsdarlehen an Privatkunden;692000;6920;;;;;;;;;
71;711;*;Geldmarktpapiere (Liquiditätsreserve) – von öffentlichen Emittenten;711100;7111;;;;;x;;;;manuelle Umsätze
71;712;*;Geldmarktpapiere (Liquiditätsreserve) – von anderen Emittenten;711200;7112;;;;;x;;;;manuelle Umsätze
71;712;*;Anleihen und Schuldverschreibungen öffentlicher Emittenten (Liquiditätsreserve) – mit festem Zinssatz;712100;7121;;;;;x;;;;manuelle Umsätze
71;713;*;Anleihen und Schuldverschreibungen öffentlicher Emittenten (Liquiditätsreserve) – sonstige;712900;7129;;;;;x;;;;manuelle Umsätze
71;713;*;Anleihen und Schuldverschreibungen anderer Emittenten (Liquiditätsreserve) – mit festem Zinssatz;713100;7131;;;;;x;;;;manuelle Umsätze
71;714;*;Anleihen und Schuldverschreibungen anderer Emittenten (Liquiditätsreserve) – sonstige;713900;7139;;;;;x;;;;manuelle Umsätze
71;715;*;Aktien einschließlich Bezugsrechte (Liquiditätsreserve);714000;7140;;;;;x;;;;manuelle Umsätze
71;716;*;Spezialfondsanteile (Liquiditätsreserve);715000;7150;;;;;x;;;;manuelle Umsätze
71;716;*;Andere nicht festverzinsliche Wertpapiere (Liquiditätsreserve) - Börsenfähige Genussscheine;716100;7161;;;;;x;;;;manuelle Umsätze
71;716;*;Andere nicht festverzinsliche Wertpapiere (Liquiditätsreserve) - Sonstige Investmentanteile;716200;7162;;;;;x;;;;manuelle Umsätze
71;717;*;Sonstige andere nicht festverzinsliche Wertpapiere;716300;7163;;;;;x;;;;manuelle Umsätze
71;717;*;Vor Fälligkeit zurückgekaufte eigene Schuldverschreibungen (Liquiditätsreserve) – börsenfähige;717100;7171;;;;;x;;;;manuelle Umsätze
71;718;*;Vor Fälligkeit zurückgekaufte eigene Schuldverschreibungen (Liquiditätsreserve) – nicht börsenfähige;717900;7179;;;;;x;;;;manuelle Umsätze
72;721;*;Planvermögen nach § 246 Abs. 2 Satz 2 HGB;718000;7180;;;;;x;;;;manuelle Umsätze
72;721;*;Handelsaktiva (ohne Derivate) - Forderungen gegenüber Kreditinstituten – Euro;721100;7211;;;;;x;;;;manuelle Umsätze
72;722;*;Handelsaktiva (ohne Derivate) - Forderungen gegenüber Kreditinstituten – Fremdwährung;721200;7212;;;;;x;;;;manuelle Umsätze
72;722;*;Handelsaktiva (ohne Derivate) -Forderungen gegenüber Kunden – Euro;722100;7221;;;;;x;;;;manuelle Umsätze
72;723;*;Handelsaktiva (ohne Derivate) -Forderungen gegenüber Kunden – Fremdwährung;722200;7222;;;;;x;;;;manuelle Umsätze
72;723;*;Handelsaktiva (ohne Derivate) - Schuldverschreibungen und andere festverzinsliche Wertpapiere – Euro;723100;7231;;;;;x;;;;manuelle Umsätze
72;724;*;Handelsaktiva (ohne Derivate) - Schuldverschreibungen und andere festverzinsliche Wertpapiere – Fremdwährung;723200;7232;;;;;x;;;;manuelle Umsätze
72;724;*;Handelsaktiva (ohne Derivate) - Aktien und andere nicht festverzinsliche Wertpapiere – Euro;724100;7241;;;;;x;;;;manuelle Umsätze
72;725;*;Handelsaktiva (ohne Derivate) - Aktien und andere nicht festverzinsliche Wertpapiere – Fremdwährung;724200;7242;;;;;x;;;;manuelle Umsätze
72;725;*;Handelsaktiva (ohne Derivate) - Sonstige Vermögensgegenstände – Euro;725100;7251;;;;;x;;;;manuelle Umsätze
73;730;*;Handelsaktiva (ohne Derivate) - Sonstige Vermögensgegenstände – Fremdwährung;725200;7252;;;;;x;;;;manuelle Umsätze
74;741;*;Devisenkommissionsgeschäft;730000;7300;;;;;x;;;;manuelle Umsätze
74;742;*;Ausgleichsforderungen gegen die öffentliche Hand aufgrund des Umstellungsgesetzes (UG-1948);741000;7410;;;;;x;;;;manuelle Umsätze
74;743;*;Ausgleichsforderungen gegen die öffentliche Hand aufgrund des Umstellungsgesetzes (UG-1953);742000;7420;;;;;x;;;;manuelle Umsätze
74;743;*;Zugeteilte Forderungen gegen den Ausgleichsfonds Währungsumstellung;743100;7431;;;;;x;;;;manuelle Umsätze
75;752;*;Schuldverschreibungen aus der Umwandlung von Ausgleichsforderungen;743200;7432;;;;;x;;;;manuelle Umsätze
75;752;*;Anleihen und Schuldverschreibungen öffentlicher Emittenten (Anlagebestand) – mit festem Zinssatz;752100;7521;;;;;x;;;;manuelle Umsätze
75;753;*;Anleihen und Schuldverschreibungen öffentlicher Emittenten (Anlagebestand) – sonstige;752900;7529;;;;;x;;;;manuelle Umsätze
75;753;*;Anleihen und Schuldverschreibungen anderer Emittenten (Anlagebestand) – mit festem Zinssatz;753100;7531;;;;;x;;;;manuelle Umsätze
75;754;*;Anleihen und Schuldverschreibungen anderer Emittenten (Anlagebestand) – sonstige;753900;7539;;;;;x;;;;manuelle Umsätze
75;755;*;Aktien einschl. Bezugsrechte (Anlagebestand);754000;7540;;;;;x;;;;manuelle Umsätze
75;756;*;Spezialfondsanteile (Anlagebestand);755000;7550;;;;;x;;;;manuelle Umsätze
75;756;*;Andere nicht festverzinsliche Wertpapiere (Anlagebestand) - Börsenfähige Genussscheine;756100;7561;;;;;x;;;;manuelle Umsätze
75;756;*;Andere nicht festverzinsliche Wertpapiere (Anlagebestand) - Sonstige Investmentanteile;756200;7562;;;;;x;;;;manuelle Umsätze
75;758;*;Andere nicht festverzinsliche Wertpapiere (Anlagebestand) - Sonstige andere nicht festverzinsliche Wertpapiere;756300;7563;;;;;x;;;;manuelle Umsätze
76;760;*;Planvermögen nach § 246 Abs. 2 Satz 2 HGB;758000;7580;;;;;x;;;;manuelle Umsätze
77;771;*;Wertpapierkommissionsgeschäft;760000;7600;;;;;x;;;;manuelle Umsätze
77;772;*;(Handelsbestand) Derivate mit Fremdwährungsrisiken;771000;7710;;;;;x;;;;manuelle Umsätze
77;773;*;(Handelsbestand) Derivate mit Zinsänderungsrisiken;772000;7720;;;;;x;;;;manuelle Umsätze
78;781;*;(Handelsbestand) Derivate mit sonstigen Marktpreisrisiken;773000;7730;;;;;x;;;;manuelle Umsätze
78;781;*;Handelspassiva (ohne Derivate) Verbindlichkeiten gegenüber Kreditinstituten – Euro;781100;7811;;;;;x;;;;manuelle Umsätze
78;782;*;Handelspassiva (ohne Derivate) Verbindlichkeiten gegenüber Kreditinstituten – Fremdwährung;781200;7812;;;;;x;;;;manuelle Umsätze
78;782;*;Handelspassiva (ohne Derivate) - Verbindlichkeiten gegenüber Kunden – Euro;782100;7821;;;;;x;;;;manuelle Umsätze
78;783;*;Handelspassiva (ohne Derivate) - Verbindlichkeiten gegenüber Kunden – Fremdwährung;782200;7822;;;;;x;;;;manuelle Umsätze
78;783;*;Handelspassiva (ohne Derivate) - Verbriefte Verbindlichkeiten – Euro;783100;7831;;;;;x;;;;manuelle Umsätze
78;784;*;Handelspassiva (ohne Derivate) - Verbriefte Verbindlichkeiten – Fremdwährung;783200;7832;;;;;x;;;;manuelle Umsätze
78;784;*;Handelspassiva (ohne Derivate) - Sonstige Verbindlichkeiten – Euro;784100;7841;;;;;x;;;;manuelle Umsätze
81;811;*;Handelspassiva (ohne Derivate) - Sonstige Verbindlichkeiten – Fremdwährung;784200;7842;;;;;x;;;;manuelle Umsätze
81;811;*;Sparkassenbetrieblich genutzte Grundstücke und Gebäude;811000;8110;x;;;;;x;;;Umsatzreport nach HK
81;811;*;Sparkassenbetrieblich genutzte Grundstücke - unbebaut -;811100;8111;x;;;;;x;;;Umsatzreport nach HK
81;811;*;Sparkassenbetrieblich grundstücksgleiche Rechte - unbebaut -;811200;8112;x;;;;;x;;;Umsatzreport nach HK
81;811;*;Sparkassenbetrieblich genutzte Grundstücke -bebaut Anteil Grund u. Boden -;811300;8113;x;;;;;x;;;Umsatzreport nach HK
81;811;*;Sparkassenbetrieblich genutzte Grundstücke - bebaut Anteil Gebäude;811400;8114;x;;;;;x;;;Umsatzreport nach HK
81;811;*;Sparkassenbetrieblich genutzte Grundstücke - Bauten auf fremdem Grund u. Boden;811500;8115;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Sparkassenbetrieblich genutzte Grundstücke - ausländische Betriebsstätte;811800;8118;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Anderer Nutzung dienende Grundstücke und Gebäude (Anlagevermögen);812000;8120;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Anders genutzte Grundstücke - unbebaut;812100;8121;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Anders genutzte grundstücksgleiche Rechte - unbebaut;812200;8122;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Anders genutzte Grundstücke - bebaut Anteil Grund u. Boden;812300;8123;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Anders genutzte Grundstücke - bebaut Anteil Gebäude;812400;8124;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Anders genutzte Grundstücke - Bauten auf fremden Grund u. Boden-;812500;8125;x;;;;;x;;;Umsatzreport nach HK
81;812;*;Anders genutze Grundstücke - ausländische Betriebsstätte;812800;8128;x;;;;;x;;;Umsatzreport nach HK
81;813;*;übrige Grundstücke - nicht zuordenbar;812900;8129;x;;;;;x;;;Umsatzreport nach HK
81;813;*;Anzahlungen auf Grundstücke und Gebäude – zur sparkassenbetrieblichen Nutzung;813100;8131;x;;;;;x;;;Umsatzreport nach HK
81;813;*;Anzahlungen auf Grundstücke und Gebäude – zu anderer Nutzung (Anlagevermögen);813200;8132;x;;;;;x;;;Umsatzreport nach HK
81;819;*;Anzahlungen auf Grundstücke und Gebäude – des Umlaufvermögens;813900;8139;x;;;;;x;;;Umsatzreport nach HK
82;821;*;Grundstücke und Gebäude des Umlaufvermögens;819000;8190;x;;;;;x;;;Umsatzreport nach HK
82;821;*;Geringwertige Vermögensgegenstände – geringwertige Vermögensgegenstände (Vollabschreibung im Anschaffungsjahr);821100;8211;x;;;;;x;;;Umsatzreport nach HK
82;822;*;Geringwertige Vermögensgegenstände – Geringwertige Vermögensgegenstände (Sammelposten nach § 6 Abs. 2 a EStG);821200;8212;x;;;;;x;;;Umsatzreport nach HK
82;823;*;Maschinen;822000;8220;x;;;;;x;;;Umsatzreport nach HK
82;824;*;Kraftfahrzeuge;823000;8230;x;;;;;x;;;Umsatzreport nach HK
82;825;*;Sonstige Einrichtungsgegenstände;824000;8240;x;;;;;x;;;Umsatzreport nach HK
82;825;*;Betriebsvorrichtungen;825100;8251;x;;;;;x;;;Umsatzreport nach HK
82;826;*;Mieterein- und -umbauten;825200;8252;x;;;;;x;;;Umsatzreport nach HK
82;827;*;Nicht abschreibungsfähige Gegenstände;826000;8260;x;;;;;x;;;Umsatzreport nach HK
83;831;*;Anzahlungen auf Betriebs- und Geschäftsausstattung;827000;8270;x;;;;;x;;;Umsatzreport nach HK
83;831;*;Beteiligungen;831010;8310;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Beteiligungen;831020;8310;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Beteiligungen an Kreditinstituten;831100;8311;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Beteiligungen an Kreditinstituten;831110;8311;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Beteiligungen an Kreditinstiuten;831120;8311;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Beteiligungen an Finanzdienstleistungsinstituten;831200;8312;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Anteile an verbundenen Kreditinstituten;831210;8312;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Anteile an verbundenen Kreditinstituten;831220;8312;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Beteiligungen an anderen Unternehmen;831300;8313;x;;;;;;;x;Umsatzreport nach HK
83;831;*;Beteiligungen an anderen Unternehmen;831310;8313;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Beteiligungen an anderen Unternehmen;831320;8313;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Kreditinstituten;832010;8320;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Kreditinstituten;832020;8320;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Kreditinstituten;832100;8321;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Kreditinstituten;832110;8321;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Kreditinstiuten;832120;8321;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Finanzdienstleistungsinstituten;832200;8322;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Finanzdienstleistungsinstituten;832210;8322;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an verbundenen Finazdienstleistungsinstituten;832220;8322;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an anderen verbundenen Unternehmen;832300;8323;x;;;;;;;x;Umsatzreport nach HK
83;832;*;Anteile an anderen verbundenen Unternehmen;832310;8323;x;;;;;;;x;Umsatzreport nach HK
83;838;*;Anteile an anderen verbundenen unternehmen;832320;8323;x;;;;;;;x;Umsatzreport nach HK
83;839;*;Stille Beteiligungen;838000;8380;x;;;;;;;x;Umsatzreport nach HK
84;840;*;Geschäftsguthaben bei Genossenschaften;839000;8390;x;;;;;;;x;Umsatzreport nach HK
85;851;*;Eigene Bausparverträge;840000;8400;x;;;;;;;x;Umsatzreport nach HK
85;852;*;Geringwertige Software;851000;8510;x;;;;;x;;;Umsatzreport nach HK
85;852;*;Andere Software – entgeltlich erworbene Software;852100;8521;x;;;;;x;;;Umsatzreport nach HK
85;852;*;Andere Software – selbst geschaffene Software;852200;8522;x;;;;;x;;;Umsatzreport nach HK
85;859;*;Andere Software – Anzahlungen auf Software;852300;8523;x;;;;;x;;;Umsatzreport nach HK
86;860;*;Sonstige immaterielle Anlagewerte;859000;8590;x;;;;;x;;;Umsatzreport nach HK
86;861;*;Sonstige Vermögensgegenstände;860000;8600;x;;;;;;;x;Umsatzreport nach HK
86;868;*;Sonstige Aktiva;861000;8610;;;;;;;;x;
86;868;*;Vorsteuer Regelsteuersatz;868000;8680;;;;;;;;x;
86;868;*;Vorsteuer ermäßigter Steuersatz;868050;8680;;;;;;;;x;
86;868;*;Vorsteuer aus Edelmetall- und Münzenhandel;868100;8681;;;;;;;;x;
86;868;*;Vorsteuer für Kantinenumsätze;868200;8682;;;;;;;;x;
86;868;*;Vorsteuer für Sicherungsgut - Vorsteuer für Lieferungen aus Steuerschuldnerschaft;868310;8683;;;;;;;;x;
86;868;*;Vorsteuer für Sicherungsgut - Vorsteuer für sonstige Leistungen/Werkleistungen aus einem EU-Land;868320;8683;;;;;;;;x;
86;868;*;Vorsteuer für Sicherungsgut - Vorsteuer aus innergemeinschaftlichem Erwerb;868330;8683;;;;;;;;x;
86;868;*;Vorsteuer unentgeltliche Wertabgaben;868700;8687;;;;;;;;x;
86;868;*;Anteilig zurechenbare Vorsteuern für aktivierungspflichtige Wirtschaftsgüter (HK 810000, 820000);868800;8688;;;;;;;;x;
86;868;*;Anteilig zurechenbare Vorsteuern für sonstige Lieferungen und Leistungen (HK 940000, 950000, 980000) -  Nachträglich abziehbare Vorsteuern nach § 15a UStG;868910;8689;;;;;;;;x;
86;869;*;Anteilig zurechenbare Vorsteuern für sonstige Lieferungen und Leistungen (HK 940000, 950000, 980000) -  Zurückzuzahlende Vorsteuer nach § 15a UStG;868920;8689;;;;;;;;x;
87;871;*;Zum Jahresabschluss aktivierte sonstige Forderungen (antizipative Posten);869000;8690;x;;;;;;;;HK aufsteigend, Umsätze absteigend, nur man. Buchungen
87;877;*;Sonstige Passiva;871000;8710;x;;;;;;;x;
87;877;*;Risikoabschlag bzw. -zuschlag nach § 340 e Abs. 3 HGB auf Handelsbestände -  Forderungen gegenüber Kreditinstituten;877110;8771;x;;;;;;;x;sofern zutreffend: Hinweis geben
